ID;MARCA;MODELO
1372;CHEVROLET;C-15
1373;CHEVROLET;BRASIL
1377;DODGE;POLARA
1380;FIAT;600
1382;FORD;F-01
1383;FORD;FALCON
1384;FORD;GALAXIE
1386;FORD;MAVERICK
1387;FORD;MODELO A
1388;FORD;NEW FIESTA
1389;INFINITI;LINHA FX
1391;PUMA;GTS
1392;HUMMER;H3
1394;HYUNDAI;PRIME
1395;HYUNDAI;TIBURON
1397;JEEP;JEEP
1398;JEEP;CJ5
1399;KARMANN GHIA;TC
1404;MERCEDES-BENZ;CLASSE CLC
1405;MERCEDES-BENZ;CLASSE CLS
1408;MERCURY;MONTEREY
1411;MIURA;TOPSPORT
1412;MIURA;TARGA
1414;MIURA;X8
1415;NISSAN;370Z
1418;PUMA;GTB
1419;PUMA;GTC
1420;PUMA;GTE
1421;MORRIS;AUSTIN
1423;RENAULT;7TL
1424;RENAULT;19
1426;SKODA;CONVERSÍVEL
1427;GURGEL;SUPERMINI
1428;VOLKSWAGEN;TL
1429;FIAT;TOPOLINO
1430;TOYOTA;SR5
1431;TOYOTA;VITZ
1432;VOLKSWAGEN;VARIANT
1454;DKW-VEMAG;CANDANGO
1460;VOLKSWAGEN;SP2
1466;HANOMAG;RECORB
1467;VOLKSWAGEN;POLAUTO
1508;RENAULT;GORDINI
1509;HILLMAN;MINX
1971;TOYOTA;ETIOS
1972;CHEVROLET;ONIX
1973;HYUNDAI;HB20
1975;BMW;330
1976;BMW;520
1978;BMW;730
1980;BMW;M1
1982;BMW;SERIE Z
1983;MERCEDES-BENZ;CLASSE SLK
1984;MERCEDES-BENZ;CLASSE C
1985;MERCEDES-BENZ;CLASSE E
1986;MERCEDES-BENZ;CLASSE CL
1987;MERCEDES-BENZ;CLASSE CLK
1988;MERCEDES-BENZ;CLASSE S
1989;MERCEDES-BENZ;CLASSE SL
1990;MERCEDES-BENZ;CLASSE SLS
1991;MERCEDES-BENZ;CLASSE G
1992;MERCEDES-BENZ;CLASSE GL
1993;MERCEDES-BENZ;CLASSE M
2032;HRG;1500
2061;HYUNDAI;EQUUS
2067;LAMBORGHINI;350 GT
2068;LAMBORGHINI;400 GT
2069;LAMBORGHINI;MIURA
2070;LAMBORGHINI;ISLERO
2071;LAMBORGHINI;ESPADA
2072;LAMBORGHINI;COUNTACH
2073;LAMBORGHINI;DIABLO
2074;LAMBORGHINI;ZAGATO
2075;LAMBORGHINI;ALAR
2076;LAMBORGHINI;LM002
2077;LAMBORGHINI;REVENTON
2078;LAMBORGHINI;ANKONIAN
2080;LAMBORGHINI;AVENTADOR
2081;LAMBORGHINI;SESTO ELEMENTO
2082;JAC;J3 TURIN
2083;JAC;J2
2084;RENAULT;SANDERO GT
2087;CHEVROLET;SPIN
2088;CHEVROLET;TRAILBLAZER
2097;CITROEN;C3 PICASSO
2098;CITROEN;GRAND C4 PICASSO
2099;CITROEN;JUMPER MINIBUS
2100;CITROEN;JUMPER VETRATO
2101;PEUGEOT;207 SEDAN
2102;PEUGEOT;207 QUIKSILVER
2103;PEUGEOT;207 ESCAPADE
2104;PEUGEOT;308 CC
2105;PEUGEOT;BOXER PASSAGEIRO
2106;FORD;NEW FIESTA SEDAN
2108;FORD;TRANSIT PASSAGEIRO
2109;FORD;TRANSIT CHASSI
2110;AUDI;A4 AVANT
2111;AUDI;S4 AVANT
2112;AUDI;A5 SPORTBACK
2113;AUDI;A5 CABRIOLET
2114;AUDI;S5 COUPE
2115;AUDI;S5 SPORTBACK
2116;AUDI;S5 CABRIOLET
2117;AUDI;A6 AVANT
2118;AUDI;A6 ALLROAD
2119;AUDI;S6 AVANT
2120;AUDI;S7
2121;AUDI;TT ROADSTER
2122;AUDI;TT RS
2123;AUDI;TT RS ROADSTER
2124;AUDI;TTS ROADSTER
2125;AUDI;R8 SPYDER
2126;AUDI;R8 GT
2127;AUDI;R8 GT SPYDER
2129;FERRARI;F12
2130;FERRARI;458 SPIDER
2131;FERRARI;458 ITALIA
2132;FERRARI;FF
2133;FERRARI;599
2134;FERRARI;SA
2135;FERRARI;CHALLENGE
2136;FERRARI;SUPERAMERICA
2137;FERRARI;F430 SPIDER
2138;FERRARI;430
2139;FERRARI;612 SESSANTA
2140;FERRARI;599 GTB
2141;FERRARI;SCUDERIA SPIDER
2142;FERRARI;512
2143;FERRARI;456 GT
2144;FERRARI;348 GTS
2145;FERRARI;348 SPIDER
2146;FERRARI;F355
2147;FERRARI;F355 SPIDER
2148;FERRARI;F50
2149;FERRARI;355 SPIDER
2150;FERRARI;360 MODENA
2151;MITSUBISHI;PAJERO FULL
2152;MITSUBISHI;PAJERO DAKAR
2153;MITSUBISHI;PAJERO TR4
2154;MITSUBISHI;LANCER SPORTBACK
2155;MITSUBISHI;LANCER EVOLUTION
2156;MITSUBISHI;L200 TRITON SAVANA
2157;MITSUBISHI;L200 TRITON
2159;NISSAN;LIVINA X-GEAR
2160;NISSAN;GRAND LIVINA
2161;SSANGYONG;NEW ACTYON SPORTS
2162;TOYOTA;PRIUS
2163;MIURA;SPORT
2164;MIURA;MTS
2165;MIURA;SPIDER
2166;MIURA;KABRIO
2167;MIURA;SAGA
2168;MIURA;SAGA II
2169;MIURA;787
2170;MIURA;X11
2171;GAIOLA;GAIOLA
2175;DODGE;NITRO
2176;DODGE;CHALLENGER
2177;DODGE;DART
2178;DODGE;LE BARON
2179;DODGE;CORDOBA
2180;DODGE;CHARGER
2181;CHRYSLER;WINDSOR
2183;CHRYSLER;CROSSFIRE
2184;CHRYSLER;CORDOBA
2185;CADILLAC;ESCALADE
2186;BUICK;RIVIERA
2187;BUICK;COUPE
2188;BUICK;CENTURY
2189;BUICK;APOLLO
2190;BUICK;CENTURION
2191;BUICK;EIGHT
2192;BUICK;ELECTRA
2193;BUICK;ESTATE WAGON
2194;BUICK;GRAN SPORT
2195;BUICK;GSX
2196;BUICK;INVICTA
2197;BUICK;LESABRE
2198;BUICK;LIMITED
2199;BUICK;PARK AVENUE
2200;BUICK;RAINIER
2201;BUICK;REATTA
2202;BUICK;REGAL
2203;BUICK;RENDEZVOUS
2204;BUICK;ROADMASTER
2205;BUICK;ROYAUM
2206;BUICK;SKYHAWK
2207;BUICK;SKYLARK
2208;BUICK;SOMERSET
2209;BUICK;SPECIAL
2210;BUICK;SPORT WAGON
2211;BUICK;SUPER
2212;BUICK;TERRAZA
2213;BUICK;WILDCAT
2214;BUICK;LACROSSE
2215;BUICK;ENCLAVE
2217;BUICK;GL8
2218;BUICK;HRV
2219;BUICK;LUCERNE
2230;FORD;SIERRA
2231;DAEWOO;BROUGHAM
2232;DAEWOO;CHAIRMAN
2233;DAEWOO;DAMAS
2234;DAEWOO;GENTRA
2235;DAEWOO;MAEPSY
2236;DAEWOO;ISTANA
2237;DAEWOO;KALOS
2238;DAEWOO;KORANDO
2239;DAEWOO;LACETTI
2240;DAEWOO;LEMANS
2242;DAEWOO;MATIZ
2243;DAEWOO;MUSSO
2244;DAEWOO;NEXIA
2245;DAEWOO;REZZO
2246;DAEWOO;ROYALE PRINCE
2247;DAEWOO;ROYALE SALON
2248;DAEWOO;STATESMAN
2249;DAEWOO;TOSCA
2250;DAEWOO;WINSTORM
